run_id,inference_time,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
0,{'sec': 7.7035510540008545},49254,34326,69.69180168108174,62.680026035259814,"(np.float64(1.5242882210645525), np.float64(1.5242882210645525))","(np.float64(1.5370050166041933), np.float64(1.5370050166041933))",1.0133783343272444
1,{'sec': 8.165653944015503},45855,27922,60.89194199105877,53.91084612735911,"(np.float64(1.8406038318950024), np.float64(1.8406038318950024))","(np.float64(1.320903899347157), np.float64(1.320903899347157))",1.7522587142148636
2,{'sec': 8.085668087005615},43354,23516,54.24182313050699,47.65489777836563,"(np.float64(1.1289846637811933), np.float64(1.1289846637811933))","(np.float64(1.1876405594794612), np.float64(1.1876405594794612))",1.8028745976760208
3,{'sec': 7.066543817520142},53703,42575,79.27862503025902,72.85364631541347,"(np.float64(1.6863027380117064), np.float64(1.6863027380117064))","(np.float64(1.8591534459095915), np.float64(1.8591534459095915))",1.697141672941024
4,{'sec': 7.284281015396118},46847,29927,63.882425768992675,56.966107697065716,"(np.float64(1.1408692806366472), np.float64(1.1408692806366472))","(np.float64(1.398105193779172), np.float64(1.398105193779172))",1.3254392657800569
5,{'sec': 7.723588228225708},45436,27153,59.760982480852185,52.86232690468997,"(np.float64(1.696537034133157), np.float64(1.696537034133157))","(np.float64(1.2906877999371211), np.float64(1.2906877999371211))",1.140805518513468
6,{'sec': 8.1769380569458},40583,18436,45.427888524751744,39.60177475073098,"(np.float64(1.1033208742189968), np.float64(1.1033208742189968))","(np.float64(1.0205853702040812), np.float64(1.0205853702040812))",1.722752424448497
7,{'sec': 8.208760023117065},43939,24552,55.87746648763058,49.10851154177522,"(np.float64(1.1758626752271697), np.float64(1.1758626752271697))","(np.float64(1.218377102502631), np.float64(1.218377102502631))",1.6451703333635175
8,{'sec': 8.330573081970215},41077,19220,46.79017455023492,40.82675230003599,"(np.float64(1.2911782164001369), np.float64(1.2911782164001369))","(np.float64(1.0474568440528118), np.float64(1.0474568440528118))",1.9085865929725845
9,{'sec': 7.249129056930542},49830,35456,71.15392333935381,64.20600497582181,"(np.float64(1.6868343464716382), np.float64(1.6868343464716382))","(np.float64(1.5793928287738908), np.float64(1.5793928287738908))",1.8940254332614535
